State,StateName,FIPS,Year,ViolentCrimeRate,MurderRate,PovertyRate,Population,Unemployment,Revenue,Expenditure,IncomePerCapita,Tuition,Gini,EITC,PctFemaleLegislators,VotingPct,UnionDensity,PolicyMood,HighMinWage,MedicalMarijuana,AssaultWeaponBan,CorruptConvicts,CitizenLiberalism,South
AK,Alaska,2,2010,635.3,4.3,12.4,713910,7.9,12374672,10996963,44205,5807.247648,0.5642215,0,21.7,52,22.89999962,41.25699997,1,1,0,NA,50.97919,0
AL,Alabama,1,2010,383.7,5.7,17.3,4785437,10.5,26823681,27699687,33516,8138.535812,0.59136045,0,12.9,43,10.100000380000001,38.52500153,0,0,0,15,19.2529,1
AR,Arkansas,5,2010,503.5,4.6,15.5,2921964,8.2,19595441,17353711,32678,6958.541945,0.58873832,0,23,38,4,33.27799988,0,0,0,17,32.17315,1
AZ,Arizona,4,2010,413.6,6.4,18.6,6407172,10.4,32841609,33015591,34553,8913.424208,0.61789483,0,32.2,41,6.400000095,48.68399811,0,0,0,16,39.17368,0
CA,California,6,2010,439.6,4.8,16.3,37319502,12.2,278500000,257200000,42578,8262.16473,0.66691655,0,26.7,44,17.5,46.61899948,1,1,1,44,58.17841,0
CO,Colorado,8,2010,323.7,2.6,12.2,5047349,8.7,27990510,27660864,42226,7812.906074,0.60959822,0,38,51,6.599999905,43.42100143,0,1,0,6,45.87387,0
CT,Connecticut,9,2010,282,3.7,8.3,3579114,9.1,26840365,27437324,54877,9909.078528,0.67497718,0,32.1,46,16.700000760000002,43.37900162,1,0,1,4,68.40326,0
DC,District of Columbia,11,2010,1326.8,21.8,19.9,605226,9.4,NA,NA,70044,7726.807363,0.64334762,1,NA,28.999999999999996,NA,48.38700104,NA,0,1,NA,NA,0
DE,Delaware,10,2010,623.3,5.7,12.1,899593,8.4,7975651,7826826,39664,10622.15246,0.5553202,1,25.8,47,11.399999619999999,65.48799896,0,0,0,1,71.35187,0
FL,Florida,12,2010,541.3,5.2,16,18845537,11.1,91653258,81629113,38222,5556.678324,0.68159539,0,23.8,42,5.599999905,37.57400131,0,0,0,52,45.97037,1
GA,Georgia,13,2010,402.3,5.7,18.7,9711881,10.5,44878023,44482208,34800,6481.687548,0.63200998,0,19.5,40,4,37.71699905,0,0,0,37,39.73201,1
HI,Hawaii,15,2010,264.3,1.8,12.1,1363963,6.9,11565500,11178392,41661,8232.36133,0.56496394,0,32.9,40,21.799999239999998,54.97200012,0,1,1,NA,71.05154,0
IA,Iowa,19,2010,268.5,1.2,10.3,3050745,6,21265049,19108588,38084,7897.900955,0.54924691,1,23.3,50,11.399999619999999,36.25799942,0,0,0,11,48.09266,0
ID,Idaho,16,2010,220.5,1.4,14,1570746,9,8859444,8514075,31986,5883.411892,0.62914121,0,25.7,42,7.099999905,38.13000107,0,0,0,0,19.72223,0
IL,Illinois,17,2010,444.9,5.5,14.1,12840503,10.4,73274871,75269674,42057,12107.90714,0.6204583,1,28.2,42,15.5,41.54999924,1,0,0,52,56.48466,0
IN,Indiana,18,2010,323.3,4.1,16.3,6490432,10.4,35575267,35474194,34042,8817.391031,0.5679369,1,21.3,37,10.899999619999999,38.3429985,0,0,0,12,40.4287,0
KS,Kansas,20,2010,370.8,3.4,14.3,2858190,7.1,16545579,16583949,39005,7315.078913,0.59138608,1,30.3,42,6.800000191,33.51100159,0,0,0,5,35.05216,0
KY,Kentucky,21,2010,243.9,4.3,17.7,4348181,10.2,26993403,29097531,32376,8299.694937,0.57208169,0,15.9,42,8.899999619,33.20600128,0,0,0,34,37.49059,0
LA,Louisiana,22,2010,555.3,11,21.6,4544532,8,32188166,33615486,37021,5224.425607,0.62091881,1,16,39,4.300000191,37.07600021,0,0,0,55,36.81895,1
MA,Massachusetts,25,2010,468.9,3.3,10.6,6566307,8.3,50471792,51730861,51302,10473.13547,0.62945157,1,25.5,49,14.5,41.26499939,1,0,1,27,68.04102,0
MD,Maryland,24,2010,546.3,7.4,10.8,5788645,7.7,37394440,37487628,49070,8540.329795,0.57403857,1,31.4,47,11.600000380000001,46.99300003,0,0,1,21,60.1859,0
ME,Maine,23,2010,122.1,1.8,12.5,1327629,8.1,9539306,9024322,36717,9873.75598,0.55141556,1,29,55.00000000000001,11.600000380000001,37.0929985,1,1,0,1,68.91593,0
MI,Michigan,26,2010,493,5.9,15.5,9877510,12.6,65971789,63917651,34691,11187.31323,0.59733033,1,25,45,16.5,40.97299957,1,1,0,30,54.74061,0
MN,Minnesota,27,2010,235.7,1.8,10.5,5310828,7.4,39887029,37942727,42847,10361.64867,0.5898515,1,34.8,55.00000000000001,15.600000380000001,39.12200165,0,0,0,6,50.47795,0
MO,Missouri,29,2010,457.7,7,14.8,5995974,9.6,33915612,30771516,36965,8025.945191,0.58946884,0,22.3,45,9.899999619,40.95000076,0,0,0,25,42.51294,0
MS,Mississippi,28,2010,269.3,6.9,22.7,2970548,10.4,20978550,20022653,31046,5843.674026,0.60710323,0,14.4,37,4.5,41.50299835,0,0,0,24,31.16568,1
MT,Montana,30,2010,275.8,2.5,14,990697,7.3,7141352,7052380,35068,6194.691846,0.6125893,0,26,48,12.69999981,39.13000107,0,1,0,10,44.54412,0
NC,North Carolina,37,2010,362.7,5,17.4,9574323,10.9,57467430,52189891,34977,5875.685085,0.58449775,1,25.9,39,3.200000048,38.44300079,0,0,0,18,45.64767,1
ND,North Dakota,38,2010,229.5,1.5,12.2,674715,3.8,6118449,5134130,42764,7251.056795,0.5739035,0,16.3,46,7.400000095,35.72900009,0,0,0,6,46.43055,0
NE,Nebraska,31,2010,278.3,3,10.2,1829542,4.6,10062763,9584493,39674,7285.275514,0.5845421,1,20.4,37,9.300000191,38.31299973,0,0,0,4,19.25611,0
NH,New Hampshire,33,2010,167.4,1,6.6,1316762,5.8,7827936,7705787,43586,13186.34868,0.58254176,0,36.8,46,10.19999981,43.41199875,0,0,0,1,51.86018,0
NJ,New Jersey,34,2010,307.5,4.2,10.7,8799446,9.5,66740281,67971367,51167,12858.51128,0.62328571,1,28.3,37,17.10000038,48.25699997,0,1,1,47,56.39111,0
NM,New Mexico,35,2010,588,6.8,18.6,2064552,8.1,17566599,17996038,33368,5660.438308,0.58954799,1,30.4,43,7.300000191,45.89799881,1,1,0,7,56.81367,0
NV,Nevada,32,2010,663,5.8,16.4,2702405,13.5,14053177,12934509,36919,5870.165937,0.68182284,0,31.7,41,15,46.79299927,1,1,0,4,49.42844,0
NY,New York,36,2010,394.4,4.5,16,19399878,8.6,195500000,174300000,48450,6394.485008,0.68408197,1,24.1,36,24.200000760000002,44.56100082,0,0,1,37,64.2796,0
OH,Ohio,39,2010,314.7,4.2,15.3,11539336,10.3,89664151,76730622,36180,9996.281068,0.55985153,0,22,45,13.69999981,43.17100143,1,0,0,65,45.7508,0
